idProv;Provinsi;Laju Pertumbuhan PDRB Atas Dasar Harga Konstan;Jumlah BPR/S;Non Perform Loan (persen);"Jumlah Perusahaan Industri Skala
Mikro";"Jumlah Perusahaan Industri Skala
Kecil";Tingkat Penetrasi Internet
11;Aceh;2.97;12;12.76;106147;2360;76.87
12;Sumatera Utara;4.53;51;9.62;116906;7005;71.25
13;Sumatera Barat;3.37;78;12.12;85194;2859;77.67
14;Riau;4.79;30;11.61;52839;1586;82.03
15;Jambi;4.93;18;16.65;29576;1692;88.93
16;Sumatera Selatan;5.35;22;8.55;73955;3723;78.2
17;Bengkulu;4.8;8;4.92;20744;911;89.73
18;Lampung;5.28;34;2.9;83989;4080;79.48
19;Kepulauan Bangka Belitung;4.09;4;9.41;17138;583;82.1
21;Kepulauan Riau;6.94;46;5.11;20113;331;82.25
31;DKI Jakarta;5.21;29;17;59908;11142;92.57
32;Jawa Barat;5.32;245;13.09;583357;56959;87.74
33;Jawa Tengah;5.37;265;18.79;834615;52944;83.79
34;DI Yogyakarta;5.49;59;15.66;119560;5555;92.4
35;Jawa Timur;5.33;268;12.58;824473;101512;83.41
36;Banten;5.37;61;9.17;93834;5892;86.21
51;Bali;5.82;129;12.98;143770;3273;91.81
52;Nusa Tenggara Barat;3.22;22;14.81;103807;14854;74.1
53;Nusa Tenggara Timur;5.14;11;7.24;144145;1148;70.91
61;Kalimantan Barat;5.39;17;10.71;46213;596;80.59
62;Kalimantan Tengah;4.8;7;6.03;29032;628;90.79
63;Kalimantan Selatan;5.22;15;4.43;58754;2195;65.89
64;Kalimantan Timur;4.53;17;11.8;31440;2111;89.55
71;Sulawesi Utara;5.66;15;9.86;47990;911;74.7
72;Sulawesi Tengah;8.47;7;4.52;73087;9267;64.79
73;Sulawesi Selatan;5.43;25;1.86;122892;3911;77.25
74;Sulawesi Tenggara;5.79;15;7.09;48432;1065;74.04
75;Gorontalo;5.71;2;5.76;29423;1482;73.63
76;Sulawesi Barat;5.36;3;2;24363;375;54.25
81;Maluku;4.56;1;2.7;41326;2169;66.7
82;Maluku Utara;34.17;5;1.9;13380;2407;68.69
92;Papua Barat;6.46;7;16.56;1827;31;79.48
91;Papua;3.97;3;18.44;7370;129;76.32
